znamka,model,prevozeni_kilometri,gorivo,velikost_motorja,kW,cena
Kia,Picanto,87100,bencinski,999,46,2990
Kia,Sportage,99800,diesel,1685,85,11990
Kia,Rio,62230,bencinski,1248,62,6490
Kia,CeeD,71249,bencinski,1368,74,10990
Kia,Sportage,78000,diesel,1685,85,12500
Kia,Sportage,235395,diesel,1991,103,5599
Kia,Sportage,110000,diesel,1995,135,14990
Kia,CeeD,188000,diesel,1396,66,5699
Kia,Pro_CeeD,68700,bencinski,1396,73,7990
Kia,Pro_CeeD,14600,bencinski,1396,80,3370
Kia,Sportage,119950,diesel,1991,110,6999
Kia,Sportage,58420,diesel,1685,85,16999
Kia,Sportage,71960,bencinski,1591,99,14999
Kia,Sportage,79360,diesel,1685,85,16999
Kia,Sportage,42860,bencinski,1591,99,15999
Kia,Pro_CeeD,82200,bencinski,1591,93,4750
Kia,CeeD,41400,bencinski,1396,73,9690
Kia,CeeD,44000,bencinski,1368,74,11490
Kia,Sportage,68700,bencinski,1591,99,10999
Kia,CeeD,56849,bencinski,1591,92,5690
Kia,Pro_CeeD,97691,bencinski,1396,66,4800
Kia,Venga,157141,bencinski,1396,66,4690
Kia,Venga,133000,diesel,1582,94,5490
Kia,CeeD,122000,bencinski,1396,80,3190
Kia,Sorento,300000,diesel,2497,103,2700
Kia,Pro_CeeD,39050,bencinski,1396,73,8999
Kia,Pro_CeeD,110000,bencinski,1396,80,3890
Kia,Optima,51533,diesel,1685,104,20990
Kia,Sportage,87030,diesel,1685,85,15999
Kia,Sportage,25235,diesel,1685,85,16999
Kia,Sportage,45110,bencinski,1591,97,18999
Kia,CeeD,109400,diesel,1582,94,8999
Kia,Sportage,24855,diesel,1685,85,20960
Kia,CeeD,203000,bencinski,1396,66,3750
Kia,Pro_CeeD,115000,bencinski,1396,66,4300
Kia,CeeD,61000,bencinski,1368,74,10699
Kia,Pro_CeeD,51000,diesel,1582,94,10999
Kia,Sportage,57555,diesel,1685,85,14299
Kia,CeeD,193500,diesel,1991,103,3690
Kia,Sportage,149000,diesel,1685,85,10550
Kia,CeeD,109150,diesel,1582,94,8490
Kia,Sportage,119335,bencinski,1591,99,10999
Kia,Rio,130720,diesel,1396,66,6999
Kia,Stonic,15350,bencinski,1368,73,17999
Kia,CeeD,43211,bencinski,1368,74,10490
Kia,CeeD,132000,bencinski,1591,92,3999
