znamka;model;prevozeni_kilometri;gorivo;velikost_motorja;kW;cena
Opel;Meriva;169000;diesel;1686;74;2.860
Opel;Zafira;134874;diesel;1598;88;11.450
Opel;Vectra;189000;bencinski;1796;90;2.200
Opel;Zafira;251000;diesel;1910;110;4.990
Opel;Corsa;138000;bencinski;1229;59;3.000
Opel;Corsa;155000;bencinski;1229;59;2.555
Opel;Mokka;120000;diesel;1686;96;11.590
Opel;Zafira;190000;diesel;1910;70;3.600
Opel;Astra;249735;diesel;1686;74;2.450
Opel;Astra;138000;diesel;1598;81;8.650
Opel;Corsa;87000;bencinski;1229;59;2.300
Opel;Meriva;246000;diesel;1686;74;1.380
Opel;Tigra;159878;bencinski;1796;92;2.899
Opel;Astra;196543;diesel;1686;74;2.999
Opel;Astra;189000;diesel;1686;96;6.650
Opel;Tigra;198585;bencinski;1364;66;2.899
Opel;Astra;141000;bencinski;1598;85;6.150
Opel;Astra;95600;bencinski;1600;85;5.000
Opel;Astra;172000;diesel;17;74;7.450
Opel;Insignia;230000;diesel;1956;96;5.390
Opel;Omega;360000;bencinski;2597;132;1.250
Opel;Astra;97000;bencinski;1364;66;2.750
Opel;Astra;30000;bencinski;1399;110;16.600
Opel;Astra;199000;diesel;1686;74;2.750
Opel;Insignia;220000;diesel;1956;118;5.390
Opel;Insignia;188500;diesel;1956;96;7.700
Opel;Astra;280000;diesel;1686;81;2.100
Opel;Meriva;25000;bencinski;1364;88;11.750
Opel;Corsa;123566;diesel;1248;55;4.822
Opel;Astra;228000;diesel;1910;88;3.490
Opel;Agila;164000;diesel;1300;55;4.200
Opel;Meriva;34000;diesel;1686;81;8.990
Opel;Astra;216000;diesel;1686;59;2.400
Opel;Corsa;43000;bencinski;1398;66;7.590
Opel;Astra;200000;bencinski;1998;85;1.000
Opel;Insignia;106108;diesel;1956;88;10.450
Opel;Corsa;104334;bencinski;1398;74;5.990
Opel;Insignia;190700;diesel;1956;88;9.850
Opel;Zafira;131641;diesel;1956;96;10.990
Opel;Astra;173000;bencinski;1598;74;1.890
Opel;Astra;138000;bencinski;1598;85;4.999
Opel;Astra;138000;bencinski;1364;66;3.290
Opel;Zafira;115000;bencinski;1598;85;6.050
